아이디,댓글,시간
lol_yul,참여완료 https://www.instagram.com/p/CmByESJLeYk/?igshid=YmMyMTA2M2Y=,2022-12-10 06:07:26+00:00
ssn77777,참여완료 (https://www.instagram.com/p/Cl-g04qJFOZ/?igshid=YmMyMTA2M2Y=),2022-12-06 00:10:23+00:00
mismin76,참여완료,2022-12-04 09:34:12+00:00
gogo_nang,참여완료. https://www.instagram.com/p/Clvbrv2vj_7/?utm_source=ig_web_copy_link,2022-12-12 10:58:17+00:00
heeya.0422,"참여완료. 메타버스 우체통 방명록도 작성했어요~ 재미있었어요!
https://www.instagram.com/p/CmELlHVPKfP/",2022-12-10 13:50:13+00:00
mickystalker,참여완료! 😊 https://www.instagram.com/p/Cl_Vyg5J5vS/?utm_source=ig_web_copy_link,2022-12-09 04:44:33+00:00
forever_if1982,"참여완료 ❤️
https://www.instagram.com/p/Cl7yeHPpOVi/",2022-12-10 09:21:05+00:00
goodsvehweh88,참여완료 https://www.instagram.com/p/Cl-3AXAyFz4/?utm_source=ig_web_copy_link,2022-12-04 15:04:00+00:00
diagoldstar,참여완료❤️ https://www.instagram.com/p/ClwBYaipH2v/?igshid=YmMyMTA2M2Y=,2022-12-03 15:20:18+00:00
gongnamol,"메타버스로 만나는 #세계유산도시기구
#owhc_ap @owhc_ap
참여합니다
https://www.instagram.com/p/Cltd9qapJX9/?igshid=N2ZiY2E3YmU=",2022-12-05 09:23:01+00:00
1004.sv,"참여완료, 방명록 완료🔥🔥🔥

https://www.instagram.com/p/Clx_Os2pMB6/?igshid=YmMyMTA2M2Y=",2022-12-13 15:05:00+00:00
taishi_ci78,참여완료❤️ https://www.instagram.com/p/CmHMp9zpUnY/?igshid=YmMyMTA2M2Y=,2022-12-04 01:19:41+00:00
seungtaeg11,참여완료했어요🧡🙆 https://www.instagram.com/p/ClujCV8hWjp/?igshid=YmMyMTA2M2Y=,2022-12-13 05:53:24+00:00
joss.0s,참여완료 https://www.instagram.com/p/CmGNo6FJNqZ/?igshid=YmMyMTA2M2Y=,2022-12-13 20:56:14+00:00
sahykim,참여완료!! https://blog.naver.com/sksmsdidel/222955116995 세계유산도시기구를 알아가는 시간이였습니다! 많은분들이 동참할수있도록 글 올렸어요!,2022-12-07 03:43:28+00:00
dididididi__20000,"참여완료!! 방문록 작성했어요 @aceshhs @girlsbiok
https://www.instagram.com/p/Cl2h-C1BEl6/?utm_source=ig_web_copy_link",2022-12-07 16:27:02+00:00
heaven_7179,참여완료,2022-12-11 10:44:22+00:00
mintt_candyy,참여완료 ❤️ https://www.instagram.com/p/CmBlIhtJ00Z/?igshid=YmMyMTA2M2Y= ❤️ #세계유산도시기구 메타버스 방명록 작성 완료 ^0^ ❤️ 더 많은 사람들에 #세계유산도시기구메타버스 방문을 통해 세계유산의 가치를 알고 느끼길 바랍니다!!!,2022-12-08 03:48:22+00:00
hwanginjae84,참여완료❤️ https://www.instagram.com/p/Cl5HWEhJhPU/?igshid=YmMyMTA2M2Y=,2022-12-02 08:46:14+00:00
jsch610,참여완료~ 메타버스 페이지 속도도 빠르고 재미있네요~,2022-12-04 11:36:39+00:00
goode_veryday,참여완료❤️ #팔로우완료✔️ #좋아요완료❤️ #업로드완료✔️ https://www.instagram.com/p/ClvpuMXrirC/?igshid=YmMyMTA2M2Y= @smjjdh1225 @gimjeongseon488 @songgolds @choi.zzhang @syj_0728 @jjjuu._.nim @sundew4004 @ssong2623,2022-12-13 06:31:53+00:00
soddong_00,참여완료❤️ https://www.instagram.com/p/CmGSCVsyJ2a/?igshid=YmMyMTA2M2Y=,2022-12-11 11:48:02+00:00
kilhwa0611,참여완료👏👏 둘러보느라 시간가는지 몰랐어요😍 우체통방명록 작성완료 https://www.instagram.com/p/CmBsgE6JTiO/?igshid=YmMyMTA2M2Y=,2022-12-11 11:00:52+00:00
koreaant2000,참여완료 ❣️ https://www.instagram.com/p/CmBnObIJ7ql/?igshid=YmMyMTA2M2Y=,2022-12-09 12:15:59+00:00
cyangirl1976,참여 완료 ❣️ https://www.instagram.com/p/Cl8mQV6r1AP/,2022-12-11 15:10:02+00:00
atonjedi,참여완료🙌🙌https://www.instagram.com/p/CmCCd8wpBfH/?igshid=YmMyMTA2M2Y= ❤️ 재미있어요.❤️ @ihyeyeong966 @yoom_yoom_yoom,2022-12-05 07:58:25+00:00
